	context
1	У дівчини був дуже милий образ, а як вона його збирала – показала у соцмережі. Зовсім нещодавно 24-річна американська модель Софія Річі — дочка співака Лайонела Річі — вийшла заміж. Обранцем дівчини став 30-річний музичний продюсер Елліот Грейндж. 9 травня пара молодят вперше вийшла у світ після свого розкішного свята, яке проводилося у Франції. Софія та Еліот відвідали показ круїзної колекції Chanel, що демонструвалася публіці у Лос-Анджелесі. Софія одягла для заходу білий твідовий ансамбль — жакет із кольоровим пір'ям та сріблястими ґудзиками, а також мінішорти з мереживом. Лук дівчини доповнили золоті сережки у вигляді логотипів Chanel, мікросумка зі стразами та чорно-білі туфлі з Т-подібними ремінцями. Елліот був не таким гламурним, ніж його знаменита дружина, оскільки віддав перевагу простому костюму, джемперу та білим кедам. Як збиралася на захід, Софія показала шанувальникам у TikTok. and we're off.
2	Еліна здобула сьому поспіль перемогу на всіх турнірах. Українська тенісистка Еліна Світоліна пробилася до третього раунду основної сітки Roland Garros-2023. У поєдинку другого кола Світоліна (№192 WTA) здобула вольову перемогу над австралійкою Сторм Сандерс (№204 WTA). Українка програла перший сет з рахунком 2:6, але потім оформила яскравий камбек, обігравши суперницю у двох наступних партіях – 6:3, 6:1. Матч тривав одну годину та 52 хвилини. За цей час Світоліна виконала 7 подач навиліт і припустилася трьох подвійних помилок. The winning continues ✅@ElinaSvitolina keeps the family momentum going completing the comeback against Sanders 2-6 6-3, 6-1.#RolandGarros pic.twitter.com/Yu4k3LIYYe Зазначимо, що для Еліни це сьома поспіль перемогу на всіх турнірах. Перед Roland Garros вона тріумфувала на змаганнях у французькому Страсбурзі, розбивши у фіналі росіянку Анну Блінкову.
3	"У Департаменті освіти і науки зазначають, що під час канікул необхідно продовжувати надавати учням психологічну допомогу та соціально-емоційну підтримку. Департамент освіти і науки КМДА рекомендує завершити освітній процес у школах Києва 30 червня. Відповідний документ Департаменту оприлюднив у Facebook. У Департаменті нагадали, що постановою Кабміну від 24.06.2022 N 711 визначено, що освітній процес у 2022/2023 навчальному році триватиме до 30 червня. Школам Києва пропонують: Також повідомляється, що у період з 8 по 19 травня Інститут післядипломної освіти Київського університету імені Бориса Грінченка проведе повторне моніторингове дослідження знань учнів 8-х та 10-х класів у формі онлайн-тестування з п'яти навчальних предметів: українська мова, математика, історія, фізика, хімія. Таке дослідження проводять з метою виявлення можливих ""знаннєвих розривів"" з базових тем, що виникли у зв'язку з реаліями воєнного стану."
4	В регіонах підвищується температура повітря. У п'ятницю, 4 серпня, в Україні посилиться спека. Місцями температура підніметься до +34°. На заході буде свіжіше через дощову погоду. Про це повідомили в Укргідрометцентрі. Вдень у більшості західних областей і на Житомирщині - місцями короткочасні дощі та грози. На решті території України буде малохмарно і без опадів. Вночі температура повітря в Україні підніметься та становитиме +5-20°. Вдень у більшості регіонів стовпчики термометрів піднімуться до позначок 29-34° тепла. На крайньому заході країни буде трошки свіжіше - 23-28° тепла. У Карпатах вночі синоптики прогнозують +12-17°, а вдень - 21-26° тепла. На Київщині 4 серпня буде малохмарно, також без опадів. Вітер переважно південний 5-10 м/с. У Київській області вночі температура повітря становитиме +15-20°, а вдень підніметься до +30-33°. У Києві вночі стовпчики термометрів покажуть 18-20° тепла, вдень - +31-33°.
5	Меч із бронзового віку настільки добре зберігся, що досі сяє. Археологи в Німеччині виявили у похованні трьох осіб меч, що датується кінцем 14 століття. Про це пише livescience.com. Зброя збереглася в настільки хорошому стані, що досі блищить. 3000-річний меч, виявлений у місті Нердлінген у Баварії, був знайдений у похованні чоловіка, жінки та дитини. Згідно із заявою Баварського державного управління з охорони пам'яток, незрозуміло, чи пов'язані вони між собою. Зброя має прикрашену восьмикутну рукоять з бронзи, яка тепер має зелений відтінок, оскільки бронза містить мідь, метал, який окислюється під впливом повітря та води. Археологи датують меч кінцем 14 століття. За словами вчених, знахідки мечів того часу та регіону рідкісні, оскільки багато могил середньої бронзової доби були розграбовані протягом тисячоліть.
6	"В активі ""синьо-жовтих"" три ""срібла"". Жіноча збірної України завоювала три медалі у перший день фіналів на чемпіонаті Європи-2023 з вільної боротьби, який відбувається у хорватському Загребі. Срібні нагороди нашій країні принесли Оксана Лівач (вагова категорія – до 50 кг), Юлія Ткач-Остапчук (до 59 кг) та Алла Белінська (до 68 кг). ⚡️Три срібні нагороди вибороли українські борчині у п’ятий день чемпіонату Європи у хорватському Загребі. Оксана Лівач (до 50 кг) Юлія Ткач-Остапчук (до 59 кг)."
7	"Принц Вільям зі старшим сином принцом Джорджем відвідав лондонський матч із крикету. 9-річний спадкоємець британського престолу разом із батьком спостерігав за грою у четвертий день другого матчу Ashes Test між Англією та Австралією на крикетному майданчику Lord's у Лондоні. Принц Уельський часто бере старшого сина на спортивні заходи і Джордж, слід зазначити, виявляє інтерес до цього. 41-річний принц Вільям був одягнений у блакитну сорочку на ґудзиках, світло-блакитний піджак та чорні окуляри, а принц Джордж був у темно-синьому піджаку та світлій сорочці у клітинку. Батько та син схвильовано спостерігали за грою та їли піцу. Також під час матчу Джорджу було подаровано мінікопію урни з прахом Річарда Томпсона, голови Ради з крикету Англії та Уельсу. Фотографи зняли цей момент на камеру. Вільям та Джордж є затятими футбольними фанатами і раніше були помічені у квітні на футбольному матчі Прем'єр-ліги між ""Астон Віллою"" та ""Ноттінгем Форест"". Іноді компанію їм складає принцеса Уельська Кейт."
8	Виконавиця наважилася на зміни у зовнішності. Українська співачка Оля Цибульська коротко підстриглася та похизувалася новою зачіскою. В Instagram-stories виконавиця поділилася, що наважилася на зміни у зовнішності. Зокрема, артистка відвідала салон краси, адже захотіла підстригтися. Майстриня відмовляла Олю коротко зістригати волосся, утім співачка була рішуче налаштованою. Артистка продемонструвала процес стрижки та похизувалася результатом. Оля Цибульська у леопардовому вбранні показалася з каре та чубчиком. Зазначимо, виконавиця доволі часто наважується на зміни у зовнішності. То артистка зістриже волосся, то відростить його, то зробить чубчик. Утім, співачка майже не експериментує з фарбуванням. Нагадаємо, нещодавно ведуча Леся Нікітюк наважилася на зміни у зовнішності. Знаменитість перефарбувала волосся та зробила у салоні краси нову зачіску.
9	"Українки оформили медальний дубль на престижних змаганнях у Швейцарії. Українські стрибунки у висоту Ірина Геращенко та Ярослава Магучіх стали призерками етапу Діамантової ліги у швейцарській Лозанні. Геращенко завоювала срібну нагороду, а Магучіх – бронзову. 28-річна Ірина взяла висоту 2,00 метра та повторила свій найкращий результат у кар'єрі, який вона встановила на чемпіонаті світу-2022. Ярослава посіла третє місце, підкоривши планку на висоті 1,97 м. Це її перша ""бронза"" поточного сезону. До цього 21-річна спортсменка з Дніпра завоювала 11 золотих нагород поспіль на різних турнірах. Ще одна українка Юлія Левченко показала п'ятий результат. Вона стрибнула на 1,94 м та встановила власний рекорд сезону. Перемогу здобула австралійка Нікола Оліслагерс (Макдермот), яка взяла висоту 2,02 м. Вона побила найкращий результат сезону у світі, який до цього належав Магучіх (2,01 м). 1. Нікола Оліслагерс (Австралія) – 2.02."
10	"Переможці пар проведуть наступний сезон в елітному дивізіоні. За підсумками заключного туру української Прем'єр-ліги (УПЛ)-2022/23 стали відомі команди, які візьмуть участь у перехідних матчах за право виступати у вищому дивізіоні наступного сезону. Згідно з регламентом, клуби, які посіли третє (ЛНЗ Черкаси) і четверте (запорізький ""Металург"") місця в Першій лізі позмагаються у стикових поєдинках за право вийти до елітного дивізіону з командами, які фінішували на 14-й (""Інгулець) і 13-й (""Верес"") позиціях в УПЛ відповідно. ""Інгулець"" (Петрове) – ЛНЗ (Черкаси) ""Верес"" (Рівне) – ""Металург"" (Запоріжжя) Перехідні матчі попередньо заплановані на 10 та 14 червня (вдома та на виїзді). Переможці пар гратимуть наступного сезону в УПЛ. Нагадаємо, за підсумками поточного сезону з УПЛ вилетіли ""Львів"" і ""Металіст"". Їхні місця посядуть дві найкращі команди Першої ліги – київська ""Оболонь"" і житомирське ""Полісся""."
